Board_FEN, Best_Move
r5k1/p5bp/5pp1/1p6/2nPqN2/P3B1PP/1P3P2/R2QK3 w Q - 4 25,a1c1
r5k1/p5bp/5pp1/1p6/2nPqN2/P3B1PP/1P3P2/2RQK3 b - - 5 25,c4e3
r5k1/p5bp/5pp1/1p6/3PqN2/P3n1PP/1P3P2/2RQK3 w - - 0 26,f2e3
r5k1/p5bp/5pp1/1p6/3PqN2/P3P1PP/1P6/2RQK3 b - - 0 26,e4e3
r5k1/p5bp/5pp1/1p6/3P1N2/P3q1PP/1P6/2RQK3 w - - 0 27,e1f1
r5k1/p5bp/5pp1/1p6/3P1N2/P3q1PP/1P6/2RQ1K2 b - - 1 27,g7h6
r5k1/p6p/5ppb/1p6/3P1N2/P3q1PP/1P6/2RQ1K2 w - - 2 28,c1c3
r5k1/p6p/5ppb/1p6/3P1N2/P1R1q1PP/1P6/3Q1K2 b - - 3 28,e3e4
r5k1/p6p/5ppb/1p6/3PqN2/P1R3PP/1P6/3Q1K2 w - - 4 29,d1b3
r5k1/p6p/5ppb/1p6/3PqN2/PQR3PP/1P6/5K2 b - - 5 29,g8g7
r7/p5kp/5ppb/1p6/3PqN2/PQR3PP/1P6/5K2 w - - 6 30,b3d5
r7/p5kp/5ppb/1p1Q4/3PqN2/P1R3PP/1P6/5K2 b - - 7 30,e4b1
r7/p5kp/5ppb/1p1Q4/3P1N2/P1R3PP/1P6/1q3K2 w - - 8 31,f1f2
r7/p5kp/5ppb/1p1Q4/3P1N2/P1R3PP/1P3K2/1q6 b - - 9 31,h6f4
r7/p5kp/5pp1/1p1Q4/3P1b2/P1R3PP/1P3K2/1q6 w - - 0 32,c3c5
r7/p5kp/5pp1/1pRQ4/3P1b2/P5PP/1P3K2/1q6 b - - 1 32,a8f8
5r2/p5kp/5pp1/1pRQ4/3P1b2/P5PP/1P3K2/1q6 w - - 2 33,g3f4
5r2/p5kp/5pp1/1pRQ4/3P1P2/P6P/1P3K2/1q6 b - - 0 33,f8f7
8/p4rkp/5pp1/1pRQ4/3P1P2/P6P/1P3K2/1q6 w - - 1 34,c5b5
8/p4rkp/5pp1/1R1Q4/3P1P2/P6P/1P3K2/1q6 b - - 0 34,f7e7
8/p3r1kp/5pp1/1R1Q4/3P1P2/P6P/1P3K2/1q6 w - - 1 35,b5b7
8/pR2r1kp/5pp1/3Q4/3P1P2/P6P/1P3K2/1q6 b - - 2 35,b1e1
8/pR2r1kp/5pp1/3Q4/3P1P2/P6P/1P3K2/4q3 w - - 3 36,f2g2
8/pR2r1kp/5pp1/3Q4/3P1P2/P6P/1P4K1/4q3 b - - 4 36,g7h6
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g1f3
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,d7d5
rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,e2e3
rnbqkbnr/ppp1pppp/8/3p4/8/4PN2/PPPP1PPP/RNBQKB1R b KQkq - 0 2,c7c6
rnbqkbnr/pp2pppp/2p5/3p4/8/4PN2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,c2c4
rnbqkbnr/pp2pppp/2p5/3p4/2P5/4PN2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,g8f6
rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/4PN2/PP1P1PPP/RNBQKB1R w KQkq - 1 4,b1c3
rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/2N1PN2/PP1P1PPP/R1BQKB1R b KQkq - 2 4,b8d7
r1bqkb1r/pp1npppp/2p2n2/3p4/2P5/2N1PN2/PP1P1PPP/R1BQKB1R w KQkq - 3 5,f1e2
r1bqkb1r/pp1npppp/2p2n2/3p4/2P5/2N1PN2/PP1PBPPP/R1BQK2R b KQkq - 4 5,h7h6
